Nama Lokasi,Tipe Lokasi,Merk HP,Minat Digital,CTR,Durasi Akses (Menit/Minggu),Skor CTR,Skor Durasi Akses (Menit/Minggu),Skor Minat Digital,Level Respons CTR,Level Durasi Akses,Level Minat Digital,Usia,Sesi Login,Segmentasi Pengguna
Kopi Kenangan Senayan,Cafe,Apple,F&B & Culinary Lifestyle,11.0,149,73.33333333333333,24.83333333333333,49.1,Tinggi,Rendah,Sedang,39,Malam,The Impulse Clicker
Stasiun Sudirman,Transportasi,Apple,F&B & Culinary Lifestyle,7.6,87,50.66666666666666,14.499999999999998,32.6,Sedang,Rendah,Rendah,44,Siang,The Passerby
Stasiun Sudirman,Transportasi,Vivo,Entertainment & Streaming,3.3,344,22.0,57.333333333333336,39.7,Rendah,Sedang,Rendah,24,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,3.2,404,21.333333333333336,67.33333333333333,44.3,Rendah,Sedang,Sedang,36,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,Travel & Leisure,4.0,104,26.666666666666668,17.333333333333336,22.0,Rendah,Rendah,Rendah,35,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Samsung,Travel & Leisure,4.4,430,29.33333333333333,71.66666666666667,50.5,Rendah,Tinggi,Sedang,34,Sore,The Camper
Stasiun Sudirman,Transportasi,Apple,E-Book & Digital Education,14.8,298,98.66666666666669,49.66666666666666,74.2,Tinggi,Sedang,Tinggi,45,Pagi,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,5.6,274,37.33333333333333,45.66666666666666,41.5,Rendah,Sedang,Sedang,26,Siang,The Passerby
Plaza Indonesia,Mall,Samsung,Travel & Leisure,9.5,310,63.33333333333333,51.66666666666667,57.5,Sedang,Sedang,Sedang,26,Malam,The Passerby
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,10.3,117,68.66666666666667,19.5,44.1,Sedang,Rendah,Sedang,26,Siang,The Passerby
Starbucks Kemang,Cafe,Xiaomi,F&B & Culinary Lifestyle,3.2,382,21.333333333333336,63.66666666666667,42.5,Rendah,Sedang,Sedang,34,Malam,The Passerby
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,4.0,312,26.666666666666668,52.0,39.3,Rendah,Sedang,Rendah,18,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,Travel & Leisure,6.0,284,40.0,47.333333333333336,43.7,Rendah,Sedang,Sedang,28,Sore,The Passerby
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,2.3,223,15.333333333333332,37.16666666666666,26.2,Rendah,Rendah,Rendah,22,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,7.9,71,52.66666666666667,11.833333333333334,32.2,Sedang,Rendah,Rendah,34,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,E-Book & Digital Education,1.7,505,11.333333333333332,84.16666666666667,47.8,Rendah,Tinggi,Sedang,22,Malam,The Camper
Starbucks Kemang,Cafe,Xiaomi,Travel & Leisure,11.4,579,76.0,96.5,86.2,Tinggi,Tinggi,Tinggi,18,Siang,The Digital Star
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,3.0,442,20.0,73.66666666666667,46.8,Rendah,Tinggi,Sedang,26,Malam,The Camper
Starbucks Kemang,Cafe,Samsung,Travel & Leisure,4.9,79,32.66666666666667,13.166666666666666,22.9,Rendah,Rendah,Rendah,30,Sore,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,0.9,140,6.000000000000001,23.33333333333333,14.7,Rendah,Rendah,Rendah,21,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,1.9,546,12.666666666666664,91.0,51.8,Rendah,Tinggi,Sedang,44,Malam,The Camper
Stasiun Sudirman,Transportasi,Vivo,Entertainment & Streaming,14.5,265,96.66666666666669,44.16666666666666,70.4,Tinggi,Sedang,Tinggi,19,Pagi,The Impulse Clicker
Plaza Indonesia,Mall,Oppo,Travel & Leisure,6.8,313,45.33333333333333,52.16666666666666,48.8,Sedang,Sedang,Sedang,35,Siang,The Passerby
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,8.8,67,58.66666666666666,11.166666666666666,34.9,Sedang,Rendah,Rendah,28,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Samsung,F&B & Culinary Lifestyle,12.9,132,86.0,22.0,54.0,Tinggi,Rendah,Sedang,39,Malam,The Impulse Clicker
Stasiun Sudirman,Transportasi,Apple,Travel & Leisure,2.0,544,13.333333333333334,90.66666666666666,52.0,Rendah,Tinggi,Sedang,31,Pagi,The Camper
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,9.9,422,66.0,70.33333333333334,68.2,Sedang,Tinggi,Sedang,40,Sore,The Camper
Perpustakaan Nasional,Fasilitas Umum,Samsung,F&B & Culinary Lifestyle,0.9,407,6.000000000000001,67.83333333333333,36.9,Rendah,Sedang,Rendah,23,Siang,The Passerby
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,6.3,345,42.0,57.49999999999999,49.8,Sedang,Sedang,Sedang,29,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,Travel & Leisure,1.5,75,10.0,12.5,11.2,Rendah,Rendah,Rendah,44,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,13.0,120,86.66666666666667,20.0,53.3,Tinggi,Rendah,Sedang,31,Pagi,The Impulse Clicker
Starbucks Kemang,Cafe,Oppo,E-Book & Digital Education,6.3,558,42.0,93.0,67.5,Sedang,Tinggi,Sedang,38,Siang,The Camper
Starbucks Kemang,Cafe,Vivo,Travel & Leisure,0.9,381,6.000000000000001,63.5,34.8,Rendah,Sedang,Rendah,45,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,0.9,580,6.000000000000001,96.66666666666669,51.3,Rendah,Tinggi,Sedang,30,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Apple,Entertainment & Streaming,1.8,312,12.000000000000002,52.0,32.0,Rendah,Sedang,Rendah,44,Pagi,The Passerby
Stasiun Sudirman,Transportasi,Oppo,Travel & Leisure,8.5,383,56.66666666666666,63.83333333333333,60.2,Sedang,Sedang,Sedang,44,Malam,The Passerby
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,5.9,367,39.333333333333336,61.16666666666667,50.2,Rendah,Sedang,Sedang,36,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Samsung,Entertainment & Streaming,9.3,162,62.0,27.0,44.5,Sedang,Rendah,Sedang,44,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,E-Book & Digital Education,13.2,310,88.0,51.66666666666667,69.8,Tinggi,Sedang,Sedang,38,Sore,The Impulse Clicker
Plaza Indonesia,Mall,Vivo,E-Book & Digital Education,9.2,68,61.33333333333333,11.333333333333332,36.3,Sedang,Rendah,Rendah,20,Pagi,The Passerby
Stasiun Sudirman,Transportasi,Apple,E-Book & Digital Education,1.7,169,11.333333333333332,28.166666666666668,19.8,Rendah,Rendah,Rendah,43,Pagi,The Passerby
Stasiun Sudirman,Transportasi,Apple,E-Book & Digital Education,3.1,330,20.666666666666668,55.00000000000001,37.8,Rendah,Sedang,Rendah,27,Malam,The Passerby
Stasiun Sudirman,Transportasi,Samsung,F&B & Culinary Lifestyle,9.5,343,63.33333333333333,57.16666666666666,60.2,Sedang,Sedang,Sedang,19,Sore,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,11.1,497,74.0,82.83333333333334,78.4,Tinggi,Tinggi,Tinggi,42,Malam,The Digital Star
Stasiun Sudirman,Transportasi,Apple,Travel & Leisure,0.5,438,3.333333333333333,73.0,38.2,Rendah,Tinggi,Rendah,18,Malam,The Camper
Stasiun Sudirman,Transportasi,Samsung,E-Book & Digital Education,5.5,100,36.66666666666666,16.666666666666664,26.7,Rendah,Rendah,Rendah,42,Sore,The Passerby
Plaza Indonesia,Mall,Samsung,E-Book & Digital Education,11.7,476,77.99999999999999,79.33333333333333,78.7,Tinggi,Tinggi,Tinggi,25,Pagi,The Digital Star
Stasiun Sudirman,Transportasi,Apple,F&B & Culinary Lifestyle,13.2,85,88.0,14.166666666666666,51.1,Tinggi,Rendah,Sedang,39,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,4.0,170,26.666666666666668,28.33333333333333,27.5,Rendah,Rendah,Rendah,21,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Apple,Entertainment & Streaming,5.2,293,34.66666666666667,48.833333333333336,41.8,Rendah,Sedang,Sedang,39,Malam,The Passerby
Starbucks Kemang,Cafe,Xiaomi,E-Book & Digital Education,13.0,345,86.66666666666667,57.49999999999999,72.1,Tinggi,Sedang,Tinggi,34,Malam,The Impulse Clicker
Plaza Indonesia,Mall,Vivo,E-Book & Digital Education,14.1,178,94.0,29.666666666666668,61.8,Tinggi,Rendah,Sedang,25,Malam,The Impulse Clicker
Plaza Indonesia,Mall,Samsung,Travel & Leisure,6.5,381,43.333333333333336,63.5,53.4,Sedang,Sedang,Sedang,45,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,3.8,506,25.33333333333333,84.33333333333334,54.8,Rendah,Tinggi,Sedang,34,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Apple,E-Book & Digital Education,6.5,398,43.333333333333336,66.33333333333333,54.8,Sedang,Sedang,Sedang,29,Sore,The Passerby
Stasiun Sudirman,Transportasi,Xiaomi,Travel & Leisure,4.6,478,30.666666666666664,79.66666666666666,55.2,Rendah,Tinggi,Sedang,43,Pagi,The Camper
Plaza Indonesia,Mall,Apple,F&B & Culinary Lifestyle,6.3,448,42.0,74.66666666666667,58.3,Sedang,Tinggi,Sedang,29,Siang,The Camper
